,弹幕内容
240,“只见此人身长九尺，髯长二尺；面若重枣，唇若涂脂，丹凤眼，卧蚕眉，相貌堂堂，威风凛凛”
241,不该救董老贼的
242,我擦，啥时候整的啊
243,俺也一样
244,相互吸引...
245,太好了，优酷还要vip
246,我丧面有人～
247,李逵小儿哪里逃
248,后面刘备不去送吧，你看曹操不也没去瞎打吗
249,有人吗
250,刘备：跟我干就对了
251,张角他们也只是没成功
252,活坑两兄弟
253,俺也一样
254,俺也一样
255,卧槽
256,曹操故里，药都亳州欢迎您！
257,终于可以在B站看三国了，太棒了！！！
258,上当了
259,牛逼！来了来了
260,他要我也得有啊
261,久等了！
262,ohhhhhh
263,刘备，听我给你俩分析，眼光要放长远啊！
264,俺也一样
265,洒币拉，hhh
266,来了
267,俺也一样
268,正道的光！
269,备备：看我倾情演绎
270,打下东郡 铁矿！
271,无敌
272,不中，咱没口罩
273,看多少次都想哭
274,俺也一样
275,俺也一样
276,拉赞助，搞投资的都来学一下吧，这才是高手啊！
277,备备：我不光缺钱，还缺人啊……
278,俺也一样
279,爷他娘不干了
280,张飞是托儿
281,俺也一样
282,俺也一样
283,黄天立，民心顺，天下平
284,和钟馗长得挺像
285,不如赚上山来
286,督邮完了
287,我擦，终于有了
288,毕竟是明朝人写的
289,看过很多次，但还是泪目了
290,三爷
291,俺不一样
292,俺不一样
293,ohhhhhhhhhhhhhhhhhhhhhhh
294,终于等到你
295,张飞:老子出的钱怎么就成小三了呢
296,二爷:有这事？
297,好活
298,滚滚长江东逝水
299,刘备全集武力最高时刻
300,安也一样
301,俺也一样
302,俺也一样！
303,演义 大家懂就好 别太在意
304,你家道中落你也得哭，别跟我说你不是
305,俺也一样
306,正道的光，照在了大地上！
307,三国志11的关羽头像直接用的陆树铭
308,苍天已死，黄天当立
309,？
310,正道的光，照在了大地上！
311,有趣的男人
312,和你们一起看！
313,老子要创业
314,脱!酒，杀!!
315,方井里是为了不变质
316,好东西的小精致
317,无路赛无路赛无路赛，就是豆粉
318,就是豆粉，就是豆粉
319,二爷一看就是读过书的
320,欢迎来到实力至上主义的三国
321,过了五年终于又可以接着看老三国了弥补了当年没看完的遗憾！
322,绿豆沙
323,开始了
324,要哭
325,英    雄
326,他人↓
327,张飞的眼神犀利起来了
328,三坑来了
329,？？？造反
330,雷霆嘎巴
331,没有背景创业真难
332,开始了开始了
333,找到了风口
334,俺也一样
335,丈八蛇矛
336,老三国杀了
337,光速白给
338,结草衔环，报兄弟大恩
339,给钱又给人，傻屠户
340,666
341,张飞牌豆浆机
342,出钱出人，这大傻子
343,郭德纲？
344,哇，鸡皮疙瘩起了一身
345,要来了
346,来了来了
347,？？？
348,俺也一样
349,俺也一样()
350,名 场 面
351,来了来了
352,俺也一样
353,俺 也 一 样
354,欧尼酱
355,？？？？
356,古人还是老实
357,豆馅哈哈哈哈哈哈
358,天 使 投 资 人
359,太鼓达人
360,只能请他吃饭啦
361,B站牛逼
362,666
363,俺也一样
364,俺也一样！
365,俺也一样！！！
366,这是晚上补拍的吗？这么黑
367,要钱还说这么多废话
368,随手就收两个万人敌
369,君要臣死，臣非死不可
370,掠阵三段击
371,rhbgf
372,俺也一样
373,纵横捭阖，自有制衡之道
374,刘备：雌雄双股剑
375,有生之年在b站看三国
376,俺也一样
377,白给
378,俺也一样
379,渣权无敌
380,三枪不撸给
381,俺也一样
382,这个时候都还没出名呢也难怪董卓看不起他
383,俺也一样嘛！
384,完结
385,挺感动的
386,关羽武力97
387,陛下
388,老大劲儿真大
389,哭了
390,太经典了
391,武财神
392,张飞听了，感动的眼泪快要从嘴巴里流出来了
393,这太难了，真有人能挪开吗
394,俺也一样
395,俺也一样
396,二哥狠
397,。
398,你瞅啥？
399,关羽和刘备穿的是布衣，刘张飞穿的是丝绸
400,刘老板？？？？？
401,刘备的老师是大将军卢植公孙瓒是刘备的大学同学
402,二遍堂
403,出现了
404,祖传微观
405,小破站牛逼
406,B站牛逼
407,贼
408,踩雷
409,俺也一样
410,张飞最有钱
411,这种事老擅长了
412,侮辱
413,俺，某，在下，，
414,俺也一样
415,手牵手，一起走
416,时代造就英雄，英雄促进时代
417,俺也一样
418,没人吗
419,俺也一样
420,俺也一样
421,俺也一样
422,这个不算文言文，是古代的白话文
423,亮亮
424,俺也一样
425,刘传销授课ing
426,555人观看
427,推荐类的内容故意削去
428,你看他在狂笑
429,拜的皇天后土
430,俺也一样
431,这都是解放军，你以为是横店100块钱一场的群演呢……
432,听这歌就想哭
433,宁学桃园三结义
434,流比
435,两个ss啊
436,不是张角是张宝吧……
437,哈哈哈
438,听这歌就想哭
439,啊啊啊啊啊
440,有人吗
441,嗯嗯嗯
442,酎金失侯的多了去了，完全是武帝找茬
443,发发发
444,这服化道非常完美
445,反反复复付
446,1.5倍速
447,痛苦
448,大片
449,俺也一样
450,开局一块地
451,俺也一样
452,俺也一样
453,现在多开心，结局就多难受啊想哭了
454,别看张飞这样子，原著里张飞是最有钱的也是赞助商呀
455,俺也一样
456,爷青回！！
457,曹忽悠上线
458,69集空降兵准备就绪
459,哭哭
460,合影
461,曹忽悠上线
462,这里面就张飞文化高
463,牛魔王就是你
464,俺也一样
465,俺也一样
466,你空手套白狼啊
467,俺也一样
468,董卓没远见
469,从此以后，结拜的誓言就定下来了。可做得到的，不多。
470,当年特别看重出生的你，再有本事，如果是平民出身也不看不起
471,分久必合合久必分
472,谁敢与我决一死战！
473,打了大败仗的反而能封高官，真讽刺
474,他这是要造反自立为王呀，这都听不明白么
475,表情包出处
476,古代很看重出身的
477,我来了
478,俺也一样
479,在下是誰？
480,你怎么这么熟练呀
481,爷的青春又回来了
482,俺也一样
483,现为相当于科级干部
484,三弟豆浆机
485,18代？？这特么能算的出来还有血缘关系？？
486,hhhhhhh
487,俺也一样
488,经典
489,妙啊
490,俺也一样！
